"Title","Date","Rating","Review"
"Great for daily life","2017-07-15","5","This product goes on smooth and easy. I usally have issues when applying my polish with chipping or movement and this polish really stays in place"
"No Title","2018-05-13","5","If you're looking for a cute nail polish that will last you a while this is one to go for I've had my nail polish on for 3 weeks and it still has not shipped and the gloss on it is pretty nice"
"No Title","2019-10-25","5","Very long lasting. It takes quite awhile to dry, but lasts long once dried completely. Be sure to use in combination with miracle gel top coat for full effect."
"Works like regular nail polish, lasts like gel","2019-09-23","4","While traveling, I needed to touch up my nails, but I hadn't brought my nail kit. Stopped by Target and got a few colors of the Miracle Gel and I'm having a hard time switching back to regular gel polish! Goes on smooth, dries like nail polish, and I love that I don't have to use my lamp. Looks great on toe nails too!"
"No Title","2020-02-22","4","Dries nice and even. A bit thicker than other polish. Does not last as long as real gel but does give that glossy gel look. If you like a color and will be using it often then it might be worth the price."
"Amazing pedicure color","2022-08-04","4","No 3 feet pics! This color is amazing on the toes as a nice, bright summer color. The polish dries super quickly without having to curate under a UV light, and two coats makes it very opaque. I like this color a lot and I'm glad I found it because it's my new favorite! I've never tried any of the sally Hansen gel polishes before and this one is amazing."
"No Title","2021-09-11","4","I have the 739 fish teal braid color and I love how it last but 100% if you don't buy step 2 then it chips right away. Also tip if you have week nails makes sure you put nail harder a week before and then apply. You thank me later"
"It's okay.","2017-12-15","3","This polish is okay. It didn't last as long as expected. I have other “gel” polishes that don't require lighting that last longer."
"Great price for such an amazing product","2024-12-13","5","A creamy foundation which i what i need for my dry againg skin. The color is perfect and as long as nothing changed with the formula, I will keep buying it. It's for sure one of my favorites."
"No Title","2020-03-05","5","This is a great top coat that makes my nails look really shiny. It also helps my manicure last a lot longer than it typically would without it. It's a little on the pricey side I think for Sally Hansen, but I definitely recommend it"
"Cheaper version than a lot of others!!","2024-12-11","5","Never had used it before. Had always used Revlon Colorstay foundation. It’s gone up and up in price to where I think it’s unreasonable. Anyway, I found this item and it is a match to my Colorstay and cheaper. Very happy with this cheaper version."
"Perfect coverage","2016-09-15","5","This concealer gives me perfect coverage and is amazingly light! Love it!"
"No Title","2018-04-11","5","The Sally Hansen Miracle Gel polish in Love Me Lilac is a gorgeous shade that just stays put. As part of the 2-step system, my mani lasted over a week! I've tried 2 other shades from this line and this one is the most opaque. You can definitely get away with one coat but two is perfect. Sally Hansen® Miracle Gel™ Nail Polish"
"AWESOME COVERAGE","2024-12-02","5","I love this makeup.  I have bought three so far and will continuing purchasing.  Not sure if the company is aware that all the tops of all three of the containers I purchased do not stay on and they have all cracked or broke.
Needs some tweaking to fix the tops and make them more sturdy to stay tightly on."
"Great value","2024-11-18","5","Same as drugstore at lot less money. Great savings."
"I love the high shine ❤️","2017-10-30","4","I loved the wider, rounded end of the brush. It made it much easier to apply an even coat. I love the bright, brilliant hue of red and the high shine is fantastic! I love this shade of Red! I can't stop looking at my nails."
"Like having a salon at home!","2017-08-22","4","This was a convenient, easy to use product. Much more convenient and affordable than going to a salon for gel nails. This applied easily, with smooth strokes, no clumping or streaking. It dried pretty quickly. The 2 step process didn't take long at all. The color was very nice with just the right amount of shine. My manicure lasted much longer than typical nail polish would. Less chips and and imperfections through out the week than I would normally experience. Had to reapply less frequently. It was easy to remove."
"Best color ever","2022-06-02","5","❤️"
"Sally Hansen Miracle Gel Nail Polish","2017-07-27","2","I really wanted to love Sally Hansen Miracle Gel Nail Polish and Top Coat. However, for me it did not stay on any longer than a cheap 99 cent nail polish. The shade Rhapsody Red was classically beautiful, applied smoothly, and could have taken just one coat to look good."
"A M A Z I N G !!","2022-07-24","5","for me anastasia pomade is easier to use and have a smooth finish, it also last longer, it's  better then any eyebrow pencil, i will always buy this one!"
"No Title","2021-06-09","4","This product really takes so practice to use. You can over do it fast, sometimes your eyebrows will look blocky and big, but once you get the hang of it it's perfect."
"DIPBROW","2022-12-28","3","I've used this product i couple different times now and the main thing i've noticed is when you get close to the end it dries up ￼an￼d you have the throw it away. when you first open it, it works wonders for your brows."
"Like","2016-09-04","5","This I love but the foundation kind of sucks! Love this like I said but it is so hard to find near me I have to go so far to get it at ulta BUEATY"
"No Title","2018-04-19","5","This has stayed on my toe nails for a week! No chipping. Its super glittery and beautiful but it's not a pain to take off when you're ready to. I will buy more colors! Great formula and staying power"
"Loved the shine","2017-10-27","5","I loved how the color stayed longer then my regular. Nail Polish and it's been 4 days now and it still looks good I wasn't sure if I'd like the red color I'm more of a light colors but I loved it, this will be my new nail Polish from now on."
"polish and top coast, sugar and shiny","2022-09-14","1","I have tried two polishes and the sugar top coat and the shiny top coat.  I have found the nail polish of both colors gets tiny bubbles and the sugar top coat is really bumpy.  I also found when applying shiny top coat, it seemed to remove polish.  I waited 5 to to minutes before each layer.   What don't I understand"
"Super fantastic shine","2017-08-11","5","It goes on easy and smooth. You don't have to put coat after coat for the color to be stunning. The top coat is my favorite part. It's brings that high wet look shine and makes your nails look super fantastic. Both the color and top coat also dry quickly, so you're not waiting forever for them to dry. Overall I absolutely love this product!"
"Fit me foundation creamy beige 122+ ? Concealer","2020-11-21","4","Hi, I use fit me foundation creamy beige 122. Which color of this concealer would be best match with my foundation. Please recommend me"
"Awesome polish!","2017-10-25","5","This polish goes on very smooth and soft. It only needed two coats to full cover my nails and be the thickness that I like. The top coat also goes on smooth, and was the perfect finisher. After 5 days my nails are still going strong despite doing dishes multiple times, scrubbing the bathroom, and multiple other chores from the day.  The color also wa perfect for me. This is exactly the color I would have bought for myself! I would definitely recommend this product to any family or friend looking to try an awesome new polish. And even better, you don't ha e to go to the salon to get long last, gel like nails! This definitely holds its own against a professional manicur."
"brow","2022-09-03","5","my favourite brow product makes my eyebrows look so natural and beautiful I'm obsessed by anastasia beverly hills eyebrow   recommend"
"No Title","2019-07-19","5","Any time I'm doing an at-home mani/pedi I HAVE to make sure I have this on hand. It prevents staining, and is very easy to remove. It is affordable and I've been able to find it at nearly every drugstore local to me. I sincerely do not like to paint my nails without this product and would suggest using it to anyone who does their nails at home!"
"Great product that is easy to apply!","2017-08-17","5","Went on smooth and dried fast without a uv light. It lasted about a week before it started to chip on the tips. It probably would have last longer but I type all day long. The color was really pretty. Overall it's a great product!"
"Smooth application","2017-07-27","5","I am very pleased with the product. It was very easy to apply color on my nails with its brush.  The brush helps to make the application very smooth . The nail color was looking very good on my nails.  The nail color dries fast after application. Also it stays on nails for quite long time."
"No Title","2020-04-21","5","I love any of the Sally Hansen nail polish it really applies my nail as a gel like this is very easy to remove once you are finished with your nail polish I love how it looks it looks professional and it's affordable you could buy this at the drugstore."
"Nice","2022-12-28","5","I really like how smooth and pigmented it is. It doesn't dry up really fast like some other makeup brands, I would recommend it"
"Anazing","2023-01-12","5","Love this. It goes on easy, the color is amazing. It lasts all day and is really waterproof. I use an angled brush to aoply"
"No Title","2021-09-28","5","I have very light eyebrows.  This Dipbrow was a lifesaver.  I would defiantly buy it again!  Anastasia Beverly Hills Dipbrow Pomade 44 This will be a definite buy again item :)"
"No Title","2021-08-25","5","Waterproof as well as 24 hour long lasting wear it's a great product to work with as well as easy to apply"
"Love it","2022-12-28","5","I love this product so much. It makes my eyebrows look great and the makeup up goes on smooth. The shade is also a perfect match definitely worth it."
"Lip Stain","2020-01-05","5","This does not come off until you wash it off. I use a color close to my natural lips, and it looks as good at 7 pm as it did at 6 am."
"Poor applicator","2020-11-20","1","The applicator is poorly designed. No matter how many times I twist, no product comes out. This is it worth the money. This issue is a common complaint. Maybelline should consider redesigning ."
"Glides like butter !","2025-03-11","5","This brow pencil glides so smoothly. It really helps enhance your eyebrows. It also lasted a full 8 hour work day without smudging or loosing color."
"Wonderful product, excellent colors!","2017-10-24","5","Beautiful shade and omg it doesn't chip at all! I am absolutely in love with how beautifully this sets and looks! The top coat really seals the color in but the color itself is gorgeous even without the top coat! I am so happy to have received this because I had wanted to try it but wasn't sure how well it was going to work, im very pleased that it's such an excellent polish! What an excellent option for girls on the go, I hate having to redo my polish constantly and this is not going to have to be redone until I'm ready to change the color!"
"Soo good!","2022-12-30","5","Dip brow has been a staple in my makeup drawer. It's so creamy, easy to use, I can shape it easily with concealer and it's such a staple!"
"Easy to apply! Looks beautiful!","2017-10-26","4","Loved the color and the ease of putting it on.  I put two coats of gel color and two of the top coat.  I am a busy mom with lots of responsibilities so I'm working at things all the time.  Unfortunately, the color came off the tips of my nails within 24 hours; not on all the nails but eight out of ten.  That left my thumbs with the only full color the next day.  I still think it is a very nice polish and will try it again."
"Perfect nails","2017-10-26","5","I would definitely recommend the Sally Hansen Miracle Gel and Top coat. The miracle gel is a very vibrant and bold color. The brush is a thick brush that spreads wide to cover the nail while brushing on the gel. The wide brushed helped to cover the whole nail with less swipes. The gel went on smooth and evenly. The top coat was very thick but it glided easily on the nail and added an extra shine to the nail color. The top coat has really helped to prevent fading and chipping and has made nail color last a whole lot longer."
"Great product!!!","2017-08-08","5","First of all the color they sent me is the most I liked is beautiful. It is a neutral tone that combines with everything. The brush that comes with the enamel makes it easy to paint it in one pass which is a most for me, the smell of the enamel nones strong which I also liked a lot. The quick dry enamel and my nails were painted 7 days. I definitely recommend it."
"No Title","2020-04-10","4","Love this product for truly salon like results without the price! Easy to apply, 2 coats of color and 1 coat of the gel step 2. No mini lamps required at all. This has lasted just as long as a gel mani for me! I will say the lighter colors do start to crack and the cracks are visible so I would stick to darker shades only."
"Best at home nail color on the market!","2017-11-15","5","It goes on smooth and even. I didn't even do a second coat, like I normally do. The top coat makes it look professional! All o my friends and coworkers Ave complemented me on the color as well. I would recommend this to all who are looking for a cute nail color that's going to last a while!"
"Doesn't make your eyebrow too dark!","2023-02-09","4","I actually have dark brown hair and I can never find a brow gel to match but this matched perfectly! definitely recommend."
"Dip brow","2022-05-08","4","Doesn't smudge at all throughout the day . Can give a bold or natural look depending how much you apply . Also easy to use"
"Love the Product, but missing my color :(","2016-09-01","5","I've been using this product for years. I love how it glides on and truly does hide blemishes. However, my favorite color is 320 HONEY and I can't find it anywhere. I finally tried on line & then heard it's been discontinued? Please bring it back!"
"BEST UNDER EYE CONCEALER EVER","2016-08-21","5","This is honestly the best concealer I've ever used for dark under eye circles. I often use it alone under my eyes and set it with compact powder and it gives an instant brightening effect, hiding my dark circles at the same time."
"Easy to use and long wearing!","2017-10-23","5","The Sally Hansen Miracle Gel & Top Coat were a breeze to apply. Two quick coats of color and one final application of Top coat. They dried quick and hard and have lasted ever since! I'm not a huge fan of this color, I prefer darker shades,  but I do like the sparkle factor that it is."
"Overall Review: Smooth and Long-Lasting","2017-10-28","5","The nail polish went on really smoothly and I had no problems with clumps or wrinkles in the coat.  It stayed on for a reasonable amount of time (a few days, whereas most nail polish I use comes off in a day), and when I wished to take it off, it came off easily and smoothly with my nail polish remover."
"Sally hansen miracle gel is awful.","2022-08-17","1","This is the second product I've tried from the miracle gel range and it's just as bad as the last. The polish is thick and gloopy  and still somehow takes three THICK coats to completely cover. I have been doing my own nails for like 20 years, this is still the worst polish I've ever used.  And it doesn't last more than 24 hours to boot. HARD PASS. I hate it."
"Smooth shiny texture","2017-10-26","4","I wasn't a fan of the color. I guess I though I would like it but didn't to much. Now it looks good on the nail, no bubbles and it did dry on the time said of 5 minutes each. I hate touching my nails thinking their dry and their not. I like fixing my nails and they last. I also like when the finish product is smooth and shiny. I like using sally Hansen miracle gel and will definitely use other colors."
"Fast drying but thin polish","2017-10-27","4","The brush was a bit wide for me (I have small nails so the brush size made it hard for precision). It also took 3+ layers of the polish to become opaque (most polishes take 2 layers).However, I do appreciate how quickly it dries!"
"Not too special","2017-07-22","3","I received the Game of chromes color which reminded me of sand and summer. Its not my preferred shade. I applied as directed with the top coat and it lasted about five days before it started to chip which I was a little bout disappointed by because I expected it to last a little longer. Overall I liked it about the same as my current polish."
"No Title","2018-03-30","5","Love it! Super impressed with the long lasting coat. Sally Hansen never fails me! Definitely the best top coat I've had drug store wise. Very easy to apply, the smell isn't terribly strong, and it lasts FOREVER!"
"GoodbyeSalon!HelloSallyHansenMiracleGel!","2017-07-29","5","I really loved how my nails looked using Sally Hansen Miracle Gel & Top Coat.
The polish lasted longer than any other nail polishes I've ever used!
I'm very happy with this product."
"150 is the best for dark circle","2016-08-20","5","This product has been recommended by so many bloggers. At first I ordered a ""fair"", the texture is moisture and smooth, but it didnt cover my dark circle like recommendation. I tried 150 Neutralizer and understand why it is soooooooo popular. 150 is a little bit orange, will be wired if you use it in the whole face but it is the best for dark circle! My dark circle is a little purple and green, which can be perfectly covered by 150. My only compliant is the brush. I hate the sponge. It is very likely to use too much with the sponge. And the remain on the sponge may grow some bacteria. So I remove it and apply it with my finger. It would be my favorite if Maybelline gave it a normal brush (just like the ""fit me"" concealer)"
"Wow! It really lasts!!","2021-06-26","5","Follow the directions and it works! Apply the color, wait a minute, then apply the moisture balm. You can apply the moisture bomb all day long when you feel like you need moisture but the color stays! No lipstick on the coffee cups are on the facemasks and lasting color."
"GOOD, YA'LL...with room for improvement","2020-11-19","4","I've ALWAYS been a high-end makeup junkie because I've never had luck with drugstore products. Lately, I'm trying to expand my horizons and be smarter with my money. This product is GOOD, ya'll. It stays put all day (coverage comparable to Tarte Shape Tape, but not as drying on the under-eye). Definitely better than my beloved NARS. I put on a couple dots and it easily covers my sleepless nights as a college student. and does not budge as long as you set with powder. The only reason I can't give it 5 stars? The applicator is messy. I keep it upright and twist slightly. The product basically keeps leaking out which is fine if you're careful with it, but gross to look at and definitely NOT travel-friendly. Maybelline, please make this in a doe-foot applicator. THEN, it would be a 5-star, in my opinion."
"No Title","2020-11-18","5","This has quickly become my favorite concealer. It’s very thin and light without compromising coverage. I have worse dark circles than I’ve seen on anyone else, and this works wonders without being cakey and settling into fine lines."
"Free Sally Hansen Miracle Gel","2017-11-15","5","I liked how it last up to 14 days and it goes on smoothly bother polish and top coat. As a stay at home mom I don't have the funds to get my nails done, but using this is just like the same thing you get done in a nail salon only cheaper too. I recommend this to anyone who paints their nails or toe nails"
"Goes on smoothly and dries fast.","2017-08-08","4","Worked great on my fake fingernails. Went on smoothly and dried really fast. Didn't go on as smoothly on my natural toe nails but still I was satisfied. Lasted longer than any other polish I've used."
"... Fawn is my go-to base color and does a great job standing on it's own as well","2017-03-04","5","Forever Fawn is my go-to base color and does a great job standing on it's own as well. I am very fair complected and this is a product and color I order online because it's very hard to find in the store on the shelf."
"Love this polish","2017-07-18","5","I really loved this nail polish , I loved the color also. It went on really smooth and nice coat not to thick and not to thin but a perfect consistency of the polish. I do see my self buying these polishes and not spend so much on manicures, when I have these perfect polishes at a good afforadable price."
"Amazing","2022-04-06","5","I have used this a few times now for my brows and it makes them look amazing and stays on for ages especially when I'm out"
"Easy to use!","2015-11-21","5","Finally found something that lasts and is easy to apply. As a nurse I am constantly cleaning my hands. I can get a good 7 days at least with this.
You MUST follow the directions to apply the polish and wait patiently between coats of polish for the product to work. I think people who are dissatisfied probably did not. Lots of great colors available. Thank you."
"Disappointed","2017-07-18","1","I was very excited about this product as I have a light for my gel nails, but I thought this would be faster and easier. I was right on the fast and easy part, but after waiting for 20 minutes, I washed my hands and the nail polish peeled off several nails and I easily rubbed off the others. There is no way it stays for 14 days. I was extremely disappointed. I will stick with my light. Maybe someone else who uses regular nail polish will have better luck."
"This polish is great","2017-07-15","4","I love how smoothly the nail polish went on the brush itself is amazing. My only real issue is that I feel like the red in the picture was a lot more deeper than the red I received period while in itself it's a pretty color is not exactly what I was looking for."
"Very inexpensive and very good!","2024-11-03","5","I find your products to be excellent and inexpensive."
"Not for the heavy handed but magic in a bottle","2022-12-15","5","A little goes a long way with the right brush. Definitely complements my skin tone and defines my brows."
"Stays on much longer than other polish","2017-07-24","4","This gel polish and top coat really work! My polish stayed on much longer than my usual manicure and I wash my hands a lot so I really notice how tough a product is when it stays on like this one. I highly recommend buying this over regular nail polish."
"No Title","2020-11-17","3","product has potential but the applicator takes so long to come out. The concealer itself has nice coverage ￼￼"
"No Title","2020-11-14","1","Terrible product! Applicator is the worst and bends and broke on me. Color is not true and does not blend well and leaves a sort of “cast” not worth the money!"
"Sally Hansen's Miracle Gel + Top Coat!!","2017-11-09","5","I love love love this miracle gel and top coat. It's coverage is great, and the color I got is so lovely which was Birthday Suit, and I'm already in love with it. The finish really gives you that gel set look and feel. I can't rave about this product  enough. Love it."
"Great product!!,","2017-10-25","5","I really love this color. I have been wanted to try this product for a while! It was really easy to use! I followed the directions and did two coats, but I must say that the color was already opaque and vibrant only after one coat. It dried really quickly and didn't smear! I have to buy the other colors because I already love the red!"
"No Title","2020-08-15","4","So I do overall like this polish. Obviously, it is not as good as true gel polish and obviously it will likely not be as pretty as when your talented nail artist paints it on your nails. But for the money, it is a good product. My BIGGEST complaint is that I have had the brush bristles fall completely out of two different polishes and that is so disappointing because I just had to throw it away."
"Chips?  Not on these nails!","2017-11-04","5","I wasn't sure about the Miracle Gel Top Coat before trying it, but after applying over the 2 coats of Miracle Gel Color, it looked fantastic! With other nail polish/top coats, I would be chipping within a day. Not anymore!"
"Cannot recommend","2017-07-26","2","This product did not work out as well as I'd hoped.  It is fairly resilient to chipping (better than regular polish), but I had several problems.  First, a few days in, gray lines showed up on my fingers where I guess the polish got scratched.  A few days after that, they lined turned darker (possibly from dye from a pair of black pants).  This made the polish look permanently dirty, and I could not wash it off.  I chose to remove the polish 9 days after first applying it because it looked so bad.  However, this Miracle Gel polish was no more difficult to remove than regular polish, so that was nice.  I can't say I would recommmed the Miracle Gel polish to others, though for some, it may be worth it to have polish that is more resilient."
"Disappointed","2020-11-03","2","I had high hopes for this concealer, but it barely covered my dark circles."
"Love this color","2018-01-08","5","Love this color, goes with everything, and lasts all day—may need to reapply after eating . It’s my go-to color!"
"Not long lasting","2021-08-10","2","Like the color, it does not stay on all day! Maybe only a couple of hours. Very disappointed !"
"Good seller","2021-05-26","5","Received the lip color when expected. Good product. Great seller"
"No Title","2018-11-10","5","Beautiful color gives a light to the eye and color natural I was very impressed by him and I did not give up"
"Love it","2017-11-03","5","I've used Sally Hansen hard as nails for a long time but I've never tried any of the color before. The color looks great and doesn't just chip immediately away with my busy lifestyle unlike some others I've used in the past."
"LOVE","2016-08-10","5","I bought this conclear recently and fell in love! I struggle with very very bad dark circles and this covers them up in no time. I will defiantly will be repurchasing this product!"
"No Title","2020-01-21","5","Love this nail polish it looks so amazing on my nails it's easy to use and apply you dont need a light to care it you get look just like gel light polish I love to buy this again its cost is a good. price for this nailpolish I would recommend others to use or at least try you wont regret it"
"No Title","2020-02-13","5","Such a pretty nude. I love using these gel polishes for when I'm between nail appointments and want a nice manicure at home. It's user friendly for sure and last a long time. I got my friends hooked on this stuff."
"A great product","2017-07-26","4","I really like the Sally Hansen Miracle Gel duo. I used it on my fingers and it was a solid week before it chipped. I will buy it again."
"Great polish","2022-07-31","4","This is great polish. I am pretty active working in the yard and washing dishes. I add a fresh coat every night and the product does not chip off of at least 1 week. I have several of the colors and they all wear well. Def recommend"
"No Title","2019-09-24","5","This is a good choice if you hate soaking your gel nail color off. If applied in at least 2 thin coats, I'd say you can get a solid week of wear. Possibly more if you do 3 coats and if you reapply a top coat every few days. Removal is wonderful. I use 100% acetone and have zero problems."
"Best Gel Nail Polish Ever!!!","2017-11-15","5","This was the best gel and top coat ever! It lasts so long. Mine was on for at least a week. You can even get your hands wet. It's wonderful! I want every color."
"Sally Hansen Miracle Gel","2017-07-27","3","The polish went on easily and dried quickly. The color is  very pretty; a nice neutral that goes with everything. However it doesn't last any longer on my nails than any regular polish that I've tried."
"No Title","2020-07-01","4","This is a pretty decent product. I do wash my hands and dishes frequently so they chip after a day or two. But if you're in a pinch this will be okay. It is pricey which doesn't make too much sense but whatever."
"miracle nail polish","2017-07-21","5","love this nail polish it is different than the one i usually use  the ease of applying it  and the shine"
"I just loved it.","2017-11-04","5","I was so exited to try Miracle Gel Life- Proof Polish from Sally Hansen and the truth is i loved it , its worth trying it so come on and try it you going to love the results."
"Great top coat","2023-04-24","5","This top coat seals it all in! I used this all the time before I started doing gel and I loved it! More than 2 coats for me makes it too thick but that is more than enough to keep the polish in place."
"No Title","2020-10-06","3","I like this a lot its cheap which is amazing. Its just kinda thick and clumpy after so long idk maybe Im doing it wrong"
"The best!","2022-04-20","5","It's long lasting and goes on smooth. I feather it in to fill my bald spots for a more natural look."
"It's perfect for eyebrows","2024-12-18","5","Very creamy, easy to work with, and it's very pigmented. A little of goes a long way. The packaging is simple but cute and easy to carry around if you need to touch up. There's no scent to it."
"Better than high end","2024-10-14","5","Honestly I’ve tried a lot of high end foundations and this is the best. Specially for texture skin. It smooths out and stays all day"
"No Title","2019-06-27","5","I love my Sally Hansen gel nail polish for whenever I'm doing my  marbling nail designs! It goes on easy and blends great! I would definitely recommend to everyone from professional to the at home manicurist!"
"Awesome!","2017-07-20","5","I am sooo happy that I was able to try this product out before purchasing for my review.  Sally Hansen Miracle Gel has truly changed my mind about getting my nails done at the salon.  I love the colors that are available and LOVE that this polish does not chip! I am really rough on my nails and i have found that this polish lasts.  I highly recommend it!"
"No Title","2020-04-26","5","Love the finish of this formulation, it looks like it was done professionally and has the gel look to it like advertised! It also is longer lasting without chipping. Only issue I have with this, is that it's harder than normal nail polish to remove but I figure you gain some you lose some. It may just be due to how well it stays on."
"Great product","2017-10-27","5","Love this Sally Hansen Miracle Gel & Top Coat nail polish it went on very smooth it stayed on my nails and didn't  chip or smear very long lasting so satisfied with this polish I plan on purchasing it for now on great product"
"love my nails","2017-07-20","5","it made my nails look like i went to a salon . i loved the color. i was pleased how easy it was to use. i cant wait to try other colors from this company. thank you for letting me try it .  i will be buying more of this product."
"No Title","2019-07-07","4","I love this brand of nail polish, but this color dries more to a mauve than a light pink.  It's a great value for an at-home mani-pedi.  Dries quickly and lasts about a week.  High shine and doesn't chip on my nails.  I have this in several colors.  I gave this 4-stars instead of 5 because the Regal Rose looks very different after drying than it does in the bottle."
"Love!","2024-10-23","5","I've used this product for years and love it. Long lasting great cool tone for my platinum blond hair."
"Getting there","2017-07-27","4","The color was gorgeous and the thick brush made it easy to apply. Went on smooth and dried relatively quickly. I work as a pet sitter and use my hands a lot for the job. I could tell the polish added strength to my nails but by day 5 I had several chips in my polish on my thumb and pointer finger. By day 6 I removed it and reapplied. I would say it's better than other store bought nail polish but still not as durable as salon options. Would recommend and will most likely purchase other colors."
"Quick, Beautiful and Hard Nails","2017-07-21","5","I liked the color of the polish. It was opaque on tge first coat. It was very quick to dry. The wand seemed wider and sturdier than other polishes. As such, I got most of my nails done in 1 to 2 swipes. After the top coat dried, my nails felt significantly stronger. I can't wait to try other colors!"
"No Title","2018-04-08","5","I love this polish! With working with my hands all day, I need a thicker polish so that it will last. The miracle gel works perfectly for me! I'm not a huge nail salon person, I would rather paint my own at home and these are perfect!"
"Fantistic eyebrows","2024-10-01","5","I found an old jar of this and it still worked so I ordered a new jar. I have very sparse eyebrows so pencils did not work for me. This is wonderful. My eyebrows have never looked so good. I highly recommend this product ."
"Stays in place all day","2024-11-19","5","I like shaping my eyebrows with this pomade it's water proof it lasted on me all day. A little goes a long way. I like how smooth the pomade is also the glass keeps the product fresh."
"It's Ok.","2016-08-05","3","Creamy & pigmented application. Product has a tendency to reflect light. Great for natural lighting. Watch out for the flash when taking photo's! In pictures that use flash, I always see this concealers placement under my eye area. Beware!"
"i like","2017-07-23","5","i like this product and will purchase. i. cand do my nails and toes myself without paying for the nail shops to do them."
"No Title","2017-04-13","2","I purchased a base coat and top coat kit about 3 months ago.  It worked great!  However, now when I opened the top coat bottle today the brush had fallen off the top and is swimming in the bottle.  Not very happy with this."
"no thank you","2017-07-18","2","when I applied the nail polish it was really cute but the net day after washing dishes the nail polish was gone"
"No Title","2020-02-26","4","I don't mind the gels at home ! I feel they last a little longer then regular polish but not much. I wish I wasn't in water so much so I could actually paint my nails more"
"No Title","2020-03-05","5","literally the best top coat i have ever used! i will never use any other top coat. sometimes when i get my nails done professionally i still come home and put this on"
"No Title","2019-09-22","5","I've been using the Sally Hansen gel polishes religiously the last year or so and am nothing but completely satisfied! This is the perfect top coat to really seal the deal and make my polish last until I decide to change it and not a moment sooner!"
"No Title","2019-12-03","5","Sally Hansen is literally the best nail polish brand out there. Hands down. Every other nail polish I've bought after using Sally Hansen has been a disappointment. Sally Hansen for life."
"Sally Hansen Miracle Gel Rocks!","2017-08-11","5","I loved this product! It definitely lasted 14 days and did not fade or look lack luster. I highly recommend all of my favorite Sally Hansen products, this one included!"
"No Title","2020-04-03","4","As a girl who loves claws this nail polish is great and gets the job done! If I have a set that's starting to become dull or chipped this product is the perfect cover until you can get that fill."
"Ugh.","2016-08-05","1","Bought this a while ago just found it again in one of my makeup bags (apparently I forgot to return it) I bought the shade light just tested it out again and it is extremely orange, it's now in the trash."
"No Title","2020-01-16","5","I was very hesitant at using this product when first introduced to it, but I thought it was great product! This miracle gel stayed on much longer than a regular nail polish, which is was I like the most about it!"
"No Title","2019-12-21","4","I like the sally Jensen miracle gel polishes but they take forever to dry! I mostly use it to paint my toes. When I paint my nails with it I tend to smudge them. My toes usually last about 5-7 days with this polish before chipping."
"Love! Love! Love!","2017-10-26","4","Other than the color I received, gold just doesn't look good on me. I loved it! I will definitely purchase in the future"
"Sally Hansen Miracle Gel","2017-07-27","4","Sally Hansen miracle gel is a very good product. I would definitely recommend it to friends.  Going to the salon is expensive so I love having this more affordable option at home!"
"Great","2023-04-28","5","I use this to help my nails stay healthyand it has been great for me. If your hesitant about trying this dont be. You wont regret it. I prefer the crystal. myself."
"Wonderful","2017-07-21","1","It worked great! My mom and daughter and I used it. Worked wonderful and has stayed on the two weeks and no problems"
"BAD Design!!","2016-07-08","1","What a waste of money this product is. It does cover excellent, but I cannot get the liquid out anymore and it will not come apart so I can try to use it. No matter how many times I push on it to get more out it will not come out,this was expensive!"
"No Title","2020-05-23","4","I liked it! i'm not to picky with nail polishes.  there is a wide variety of colors to choose from so your bound to find the right color for yourself !"
"Single-use product.","2025-03-02","1","Single-use product. The first day I used it, I cleaned it and put it away. A week later I tried to use them and they were stuck together, I was able to open them with great effort. The third time I tried to use them, no matter how much I tried to open the 1 and 2 caps, they wouldn't open. The 1 broke and the 2 never opened. And I cleaned them the second time with acetone."
"No Title","2020-01-10","4","Better than most nail polishes. It lasts longer than other polishes I've used and it's true to color. It does begin to chip off around the tips but I treat my hands and nails terribly."
"No Title","2020-02-22","5","If you looking for regular color take more long time in your nails for real this it's the one you looking for . No more uv machine dry super quit, shine like a diamond. and my best part 2 week or more long"
"No Title","2018-04-04","4","very good , loved a lot especially if no time to go to the salon and get them done professionally . lasts about a week depending on what u do with them"
"I'm in love!","2017-11-05","5","It went on smooth and dried quickly. It lasted well over a week and that was with me doing house work and other stuff as well. Very impressed."
"Love Nail Polish","2017-11-04","5","Love the nail polish. Going to buy new colors at the store this weekend. Ready to try other colors with my outfits"
"No Title","2020-03-29","5","I love this product and I love the brand sally Hansen there's no polish has worked wonders for me and I still use it to till this day and I highly recommend"
"No Title","2020-02-12","5","so far the easiest, quickest gel top coat i've used. i buy this gel polish & top coat exclusively i love it. i'm not the best at painting my own nails and when it settles it's smooth and blemish free"
"No Title","2020-04-28","5","I bought one of these on a whim and I love it! It goes on a lot smoother and thicker than other simple nail polishes. Even if I don't use the clear gel on top, the colored gel stays on well and looks great and less streaky than regular nail polish!"
"very good","2025-03-11","4","base a great brow lift and has a very smooth application on the pencil"
"No Title","2018-11-09","4","I really liked this product! I'm kind of a makeup junky and I try out many products expensive and drugstore. This is a very well know drugstore product and it goes on very well. It covers up under eye discoloration. The only thing I would say I dislike about this product is the applicator sponge on the top. When you are almost done with it, it gets a bit wobbly and its not a very useful shape for a concealer. For the price of this product, I really liked it and I will be using it again for sure."
"No Title","2020-03-02","4","Bought for  my nine year old daughter and she loves it. it's her favorite blue. price is ok but I wish the product came in a bundle with multiple colors"
